,Team,Year,ST,W,PD,PP,FL,BF,BG,PTS,WC,CAR,ENGINE
0,alfa-romeo,2019,21,0,0,0,0,4,5,57,8th,Alfa Romeo C38,Ferrari 64
1,alfa-romeo,2020,17,0,0,0,0,9,8,8,8th,Alfa Romeo C39,Ferrari 65
2,alfa-romeo,2021,22,0,0,0,0,8,7,13,9th,Alfa Romeo C41,Ferrari 065/6
3,alfa-romeo,2022,22,0,0,0,1,5,5,55,6th,Alfa Romeo C42,Ferrari 066/7
4,alfa-romeo,2023,20,0,0,0,1,8,5,16,9th,Alfa Romeo C43,Ferrari 066/10
5,alpine,2021,22,1,2,0,0,1,3,155,5th,Alpine A521,Renault E-Tech 20B
6,alpine,2022,22,0,0,0,0,4,2,173,4th,Alpine A522,Renault E-Tech RE22
7,alpine,2023,20,0,2,0,0,3,3,108,6th,Alpine A523,Renault E-Tech RE23
8,aston-martin,2021,22,0,1,0,0,2,5,77,7th,Aston Martin AMR21,Mercedes F1 M12 E Performance
9,aston-martin,2022,22,0,0,0,0,6,5,55,7th,Aston Martin AMR22,Mercedes F1 M13 E Performance
10,aston-martin,2023,20,0,8,0,1,2,2,261,5th,Aston Martin AMR23,Mercedes F1 M14 E Performance
11,bwt-racing-point-f1-team,2019,21,0,0,0,0,4,5,73,7th,Racing Point RP19,Mercedes F1 M10 EQ Power+
12,bwt-racing-point-f1-team,2020,17,1,4,1,0,1,1,195,4th,Racing Point RP20,Mercedes M11 EQ Performance
13,caterham,2014,17,0,0,0,0,11,14,0,11th,Caterham CT05,Renault Energy F1
14,ferrari-2,2014,19,0,2,0,1,2,4,216,4th,Ferrari F14 T,Ferrari 059/3
15,ferrari-2,2015,19,3,16,1,3,1,1,428,2nd,Ferrari SF15-T,Ferrari 059/4
16,ferrari-2,2016,21,0,11,0,4,2,3,398,3rd,Ferrari SF16-H,Ferrari 059/5
17,ferrari-2,2017,20,5,20,5,7,1,1,522,2nd,Ferrari SF71H,Ferrari 62
18,ferrari-2,2018,21,6,24,6,4,1,1,571,2nd,Ferrari SF71H,Ferrari 063
19,ferrari-2,2019,21,3,19,9,6,1,1,504,2nd,Ferrari SF90,Ferrari 64
20,ferrari-2,2020,17,0,3,0,0,2,4,131,6th,Ferrari SF1000,Ferrari 65
21,ferrari-2,2021,22,0,5,2,0,2,1,323.5,3rd,Ferrari SF21,Ferrari 065/6
22,ferrari-2,2022,22,4,20,12,5,1,1,554,2nd,Ferrari F1-75,Ferrari 066/7
23,ferrari-2,2023,20,1,7,6,0,1,1,362,3rd,Ferrari SF-23,Ferrari 066/10
24,force-india,2014,19,0,1,0,1,3,4,155,6th,Force India VJM07,Mercedes PU106A Hybrid
