,Unnamed: 0,Team,Year,ST,W,PD,PP,FL,BF,BG,PTS,WC,EVENT,ENGINES,GRID POS,RACE
0,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Las Vegas Grand Prix,Mercedes,3,8.0
1,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Bahrain Grand Prix,Mercedes,7,5.0
2,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Bahrain Grand Prix,Mercedes,6,7.0
3,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Saudi Arabian Grand Prix,Mercedes,3,4.0
4,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Saudi Arabian Grand Prix,Mercedes,7,5.0
5,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Australian Grand Prix,Mercedes,3,2.0
6,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Australian Grand Prix,Mercedes,2,0.0
7,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Azerbaijan Grand Prix,Mercedes,5,6.0
8,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Azerbaijan Grand Prix,Mercedes,11,8.0
9,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Miami Grand Prix,Mercedes,6,4.0
10,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Miami Grand Prix,Mercedes,13,6.0
11,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Monaco Grand Prix,Mercedes,5,4.0
12,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Monaco Grand Prix,Mercedes,8,5.0
13,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Spanish Grand Prix,Mercedes,4,2.0
14,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Spanish Grand Prix,Mercedes,12,3.0
15,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Canadian Grand Prix,Mercedes,3,3.0
16,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Canadian Grand Prix,Mercedes,4,0.0
17,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Austrian Grand Prix,Mercedes,11,7.0
18,0,mercedes,2023,20,0,7,1,5,2,1,382.0,2nd,Austrian Grand Prix,Mercedes,5,8.0
